# format org.openvanilla.mcbopomofo.sorted
一-ㄧ-一-ㄧ -4.3851
一-ㄧ-下-ㄒㄧㄚˋ -3.6227
一-ㄧ-九-ㄐㄧㄡˇ-九-ㄐㄧㄡˇ -4.1647
一-ㄧ-九-ㄐㄧㄡˇ-八-ㄅㄚ -4.4384
一-ㄧ-些-ㄒㄧㄝ -3.3864
一-ㄧ-件-ㄐㄧㄢˋ -4.4436
一-ㄧ-份-ㄈㄣˋ -4.5502
一-ㄧ-位-ㄨㄟˋ -4.1956
一-ㄧ-個-ㄍㄜ˙ -2.9781
一-ㄧ-個-ㄍㄜ˙-人-ㄖㄣˊ -4.2037
一-ㄧ-個-ㄍㄜ˙-月-ㄩㄝˋ -4.4503
一-ㄧ-切-ㄑㄧㄝˋ -3.9962
一-ㄧ-千-ㄑㄧㄢ -4.1151
一-ㄧ-半-ㄅㄢˋ -4.3321
一-ㄧ-台-ㄊㄞˊ -4.5135
一-ㄧ-向-ㄒㄧㄤˋ -4.5469
一-ㄧ-堆-ㄉㄨㄟ -4.5511
一-ㄧ-場-ㄔㄤˇ -4.3033
一-ㄧ-塊-ㄎㄨㄞˋ -4.4417
一-ㄧ-天-ㄊㄧㄢ -4.1432
一-ㄧ-定-ㄉㄧㄥˋ -3.5150
一-ㄧ-定-ㄉㄧㄥˋ-會-ㄏㄨㄟˋ -4.5345
一-ㄧ-家-ㄐㄧㄚ -4.3057
一-ㄧ-年-ㄋㄧㄢˊ -3.8590
一-ㄧ-張-ㄓㄤ -4.3897
一-ㄧ-方-ㄈㄤ -4.1045
一-ㄧ-方-ㄈㄤ-面-ㄇㄧㄢˋ -4.0212
一-ㄧ-日-ㄖˋ -4.2052
一-ㄧ-旦-ㄉㄢˋ -4.3085
一-ㄧ-時-ㄕˊ -4.3085
一-ㄧ-月-ㄩㄝˋ -4.1677
一-ㄧ-本-ㄅㄣˇ -4.4548
一-ㄧ-條-ㄊㄧㄠˊ -4.4489
一-ㄧ-樣-ㄧㄤˋ -3.4861
一-ㄧ-樣-ㄧㄤˋ-的-ㄉㄜ˙ -4.3253
一-ㄧ-次-ㄘˋ -3.7841
一-ㄧ-步-ㄅㄨˋ -4.0431
一-ㄧ-段-ㄉㄨㄢˋ -4.2808
一-ㄧ-生-ㄕㄥ -4.4391
一-ㄧ-百-ㄅㄞˇ -3.7923
一-ㄧ-百-ㄅㄞˇ-五-ㄨˇ-十-ㄕˊ -4.5612
一-ㄧ-直-ㄓˊ -3.6293
一-ㄧ-種-ㄓㄨㄥˇ -3.7770
一-ㄧ-篇-ㄆㄧㄢ -4.5104
一-ㄧ-群-ㄑㄩㄣˊ -4.5444
一-ㄧ-致-ㄓˋ -4.4623
一-ㄧ-般-ㄅㄢ -3.5927
一-ㄧ-般-ㄅㄢ-人-ㄖㄣˊ -4.3667
一-ㄧ-萬-ㄨㄢˋ -4.3926
一-ㄧ-起-ㄑㄧˇ -3.6913
一-ㄧ-起-ㄑㄧˇ-來-ㄌㄞˊ -4.5435
一-ㄧ-連-ㄌㄧㄢˊ -4.5536
一-ㄧ-邊-ㄅㄧㄢ -4.2949
一-ㄧ-部-ㄅㄨˋ -4.1985
一-ㄧ-開-ㄎㄞ -4.4684
一-ㄧ-陣-ㄓㄣˋ -4.4482
一-ㄧ-隻-ㄓ -4.5220
一-ㄧ-面-ㄇㄧㄢˋ -4.5553
一-ㄧ-項-ㄒㄧㄤˋ -4.4152
一-ㄧ-點-ㄉㄧㄢˇ -3.6145
一-ㄧˊ-下-ㄒㄧㄚˋ -3.6227
一-ㄧˊ-下-ㄒㄧㄚˋ-子-ㄗ˙ -4.6535
一-ㄧˊ-世-ㄕˋ -4.7943
一-ㄧˊ-世-ㄕˋ-紀-ㄐㄧˋ -4.7848
一-ㄧˊ-代-ㄉㄞˋ -4.6501
一-ㄧˊ-件-ㄐㄧㄢˋ -4.4436
一-ㄧˊ-件-ㄐㄧㄢˋ-事-ㄕˋ -4.7288
一-ㄧˊ-份-ㄈㄣˋ -4.5502
一-ㄧˊ-位-ㄨㄟˋ -4.1956
一-ㄧˊ-個-ㄍㄜˋ-個-ㄍㄜˋ -4.8031
一-ㄧˊ-個-ㄍㄜˋ-個-ㄍㄜ˙ -4.8031
一-ㄧˊ-個-ㄍㄜ˙ -2.9781
一-ㄧˊ-個-ㄍㄜ˙-人-ㄖㄣˊ -4.2037
一-ㄧˊ-個-ㄍㄜ˙-個-ㄍㄜ˙ -4.8031
一-ㄧˊ-個-ㄍㄜ˙-月-ㄩㄝˋ -4.4503
一-ㄧˊ-億-ㄧˋ -4.8032
一-ㄧˊ-共-ㄍㄨㄥˋ -4.8960
一-ㄧˊ-再-ㄗㄞˋ -4.5760
一-ㄧˊ-分-ㄈㄣˋ -4.9639
一-ㄧˊ-切-ㄑㄧㄝˋ -3.9962
一-ㄧˊ-切-ㄑㄧㄝˋ-都-ㄉㄡ -4.9560
一-ㄧˊ-半-ㄅㄢˋ -4.3321
一-ㄧˊ-句-ㄐㄩˋ -4.7499
一-ㄧˊ-句-ㄐㄩˋ-話-ㄏㄨㄚˋ -4.9680
一-ㄧˊ-向-ㄒㄧㄤˋ -4.5469
一-ㄧˊ-塊-ㄎㄨㄞˋ -4.4417
一-ㄧˊ-套-ㄊㄠˋ -4.5629
一-ㄧˊ-定-ㄉㄧㄥˋ -3.5150
一-ㄧˊ-定-ㄉㄧㄥˋ-是-ㄕˋ -4.6746
一-ㄧˊ-定-ㄉㄧㄥˋ-會-ㄏㄨㄟˋ -4.5345
一-ㄧˊ-定-ㄉㄧㄥˋ-要-ㄧㄠˋ -4.1671
一-ㄧˊ-對-ㄉㄨㄟˋ -4.9860
一-ㄧˊ-屆-ㄐㄧㄝˋ -4.7715
一-ㄧˊ-帶-ㄉㄞˋ -4.6816
一-ㄧˊ-度-ㄉㄨˋ -4.6672
一-ㄧˊ-座-ㄗㄨㄛˋ -4.7539
一-ㄧˊ-律-ㄌㄩˋ -4.9149
一-ㄧˊ-日-ㄖˋ -4.2052
一-ㄧˊ-旦-ㄉㄢˋ -4.3085
一-ㄧˊ-是-ㄕˋ -4.9469
一-ㄧˊ-樣-ㄧㄤˋ -3.4861
一-ㄧˊ-樣-ㄧㄤˋ-的-ㄉㄜ˙ -4.3253
一-ㄧˊ-次-ㄘˋ -3.7841
一-ㄧˊ-步-ㄅㄨˋ -4.0431
一-ㄧˊ-段-ㄉㄨㄢˋ -4.2808
一-ㄧˊ-片-ㄆㄧㄢˋ -4.5690
一-ㄧˊ-系-ㄒㄧˋ -4.9286
一-ㄧˊ-系-ㄒㄧˋ-列-ㄌㄧㄝˋ -4.8115
一-ㄧˊ-致-ㄓˋ -4.4623
一-ㄧˊ-萬-ㄨㄢˋ -4.3926
一-ㄧˊ-號-ㄏㄠˋ -4.5886
一-ㄧˊ-貫-ㄍㄨㄢˋ -4.7539
一-ㄧˊ-路-ㄌㄨˋ -4.5646
一-ㄧˊ-輩-ㄅㄟˋ -4.9490
一-ㄧˊ-部-ㄅㄨˋ -4.1985
一-ㄧˊ-部-ㄅㄨˋ-分-ㄈㄣˋ -4.5855
一-ㄧˊ-陣-ㄓㄣˋ -4.4482
一-ㄧˊ-陣-ㄓㄣˋ-子-ㄗ˙ -4.5855
一-ㄧˊ-面-ㄇㄧㄢˋ -4.5553
一-ㄧˊ-項-ㄒㄧㄤˋ -4.4152
一-ㄧˋ-些-ㄒㄧㄝ -3.3864
一-ㄧˋ-來-ㄌㄞˊ -4.7486
一-ㄧˋ-個-ㄍㄜ˙ -2.9781
一-ㄧˋ-個-ㄍㄜ˙-人-ㄖㄣˊ -4.2037
一-ㄧˋ-個-ㄍㄜ˙-月-ㄩㄝˋ -4.4503
一-ㄧˋ-兩-ㄌㄧㄤˇ -4.7459
一-ㄧˋ-分-ㄈㄣ -4.9639
一-ㄧˋ-則-ㄗㄜˊ -4.7929
一-ㄧˋ-千-ㄑㄧㄢ -4.1151
一-ㄧˋ-口-ㄎㄡˇ -4.7973
一-ㄧˋ-口-ㄎㄡˇ-氣-ㄑㄧˋ -4.9302
一-ㄧˋ-台-ㄊㄞˊ -4.5135
